date,gdp,cpi,unemployment,fed_rate,employment,money_supply
1990-01-01,5872.701,127.5,5.4,8.23,109196.0,3166.8
1990-02-01,,128.0,5.3,8.24,109436.0,3179.2
1990-03-01,,128.6,5.2,8.28,109640.0,3190.1
1990-04-01,5960.028,128.9,5.4,8.26,109674.0,3201.6
1990-05-01,,129.1,5.4,8.18,109828.0,3200.6
1990-06-01,,129.9,5.2,8.29,109850.0,3213.7
1990-07-01,6015.116,130.5,5.5,8.15,109815.0,3224.5
1990-08-01,,131.6,5.7,8.13,109606.0,3242.0
1990-09-01,,132.5,5.9,8.2,109523.0,3254.6
1990-10-01,6004.733,133.4,5.9,8.11,109377.0,3259.3
1990-11-01,,133.7,6.2,7.81,109222.0,3262.6
1990-12-01,,134.2,6.3,7.31,109168.0,3271.8
1991-01-01,6035.178,134.7,6.4,6.91,109058.0,3287.7
1991-02-01,,134.8,6.6,6.25,108735.0,3304.5
1991-03-01,,134.8,6.8,6.12,108568.0,3321.9
1991-04-01,6126.862,135.1,6.7,5.91,108350.0,3332.4
1991-05-01,,135.6,6.9,5.78,108253.0,3343.0
1991-06-01,,136.0,6.9,5.9,108330.0,3351.9
1991-07-01,6205.937,136.2,6.8,5.82,108290.0,3356.1
1991-08-01,,136.6,6.9,5.66,108299.0,3355.0
1991-09-01,,137.0,6.9,5.45,108335.0,3354.9
1991-10-01,6264.54,137.2,7.0,5.21,108361.0,3360.1
1991-11-01,,137.8,7.0,4.81,108300.0,3365.5
1991-12-01,,138.2,7.3,4.43,108330.0,3372.2
1992-01-01,6363.102,138.3,7.3,4.03,108365.0,3381.2
1992-02-01,,138.6,7.4,4.06,108313.0,3400.0
1992-03-01,,139.1,7.4,3.98,108367.0,3403.9
1992-04-01,6470.763,139.4,7.4,3.73,108517.0,3399.7
1992-05-01,,139.7,7.6,3.82,108647.0,3398.6
1992-06-01,,140.1,7.8,3.76,108707.0,3393.4
1992-07-01,6566.641,140.5,7.7,3.25,108792.0,3393.9
1992-08-01,,140.8,7.6,3.3,108916.0,3398.8
1992-09-01,,141.1,7.6,3.22,108952.0,3410.3
1992-10-01,6680.803,141.7,7.3,3.1,109138.0,3423.8
1992-11-01,,142.1,7.4,3.09,109283.0,3426.5
1992-12-01,,142.3,7.4,2.92,109502.0,3424.7
1993-01-01,6729.459,142.8,7.3,3.02,109790.0,3419.1
1993-02-01,,143.1,7.1,3.03,110048.0,3414.5
1993-03-01,,143.3,7.0,3.07,110004.0,3411.7
1993-04-01,6808.939,143.8,7.1,2.96,110300.0,3411.3
1993-05-01,,144.2,7.1,3.0,110571.0,3436.9
1993-06-01,,144.3,7.0,3.04,110742.0,3442.4
1993-07-01,6882.098,144.5,6.9,3.06,111054.0,3442.0
1993-08-01,,144.8,6.8,3.03,111200.0,3445.7
1993-09-01,,145.0,6.7,3.09,111449.0,3452.2
1993-10-01,7013.738,145.6,6.8,2.99,111734.0,3456.7
1993-11-01,,146.0,6.6,3.02,111988.0,3470.1
1993-12-01,,146.3,6.5,2.96,112324.0,3474.5
1994-01-01,7115.652,146.3,6.6,3.05,112601.0,3474.9
1994-02-01,,146.7,6.6,3.25,112782.0,3475.7
1994-03-01,,147.1,6.5,3.34,113245.0,3480.1
1994-04-01,7246.931,147.2,6.4,3.56,113589.0,3481.3
1994-05-01,,147.5,6.1,4.01,113922.0,3490.8
1994-06-01,,147.9,6.1,4.25,114239.0,3479.5
1994-07-01,7331.075,148.4,6.1,4.26,114608.0,3488.2
1994-08-01,,149.0,6.0,4.47,114903.0,3485.7
1994-09-01,,149.3,5.9,4.73,115247.0,3486.1
1994-10-01,7455.288,149.4,5.8,4.76,115457.0,3484.3
1994-11-01,,149.8,5.6,5.29,115868.0,3487.2
1994-12-01,,150.1,5.5,5.45,116173.0,3486.4
1995-01-01,7522.289,150.5,5.6,5.53,116505.0,3492.4
1995-02-01,,150.9,5.4,5.92,116694.0,3489.9
1995-03-01,,151.2,5.4,5.98,116908.0,3491.1
1995-04-01,7580.997,151.8,5.8,6.05,117065.0,3499.2
1995-05-01,,152.1,5.6,6.01,117047.0,3524.2
1995-06-01,,152.4,5.6,6.0,117291.0,3548.9
1995-07-01,7683.125,152.6,5.7,5.85,117382.0,3567.4
1995-08-01,,152.9,5.7,5.74,117646.0,3589.0
1995-09-01,,153.1,5.6,5.8,117873.0,3602.1
1995-10-01,7772.586,153.5,5.5,5.76,118026.0,3613.4
1995-11-01,,153.7,5.6,5.8,118165.0,3619.9
1995-12-01,,153.9,5.6,5.6,118325.0,3629.5
1996-01-01,7868.468,154.7,5.6,5.56,118317.0,3647.9
1996-02-01,,155.0,5.5,5.22,118737.0,3661.8
1996-03-01,,155.5,5.5,5.31,118992.0,3686.9
1996-04-01,8032.84,156.1,5.6,5.22,119158.0,3697.7
1996-05-01,,156.4,5.6,5.24,119496.0,3709.6
1996-06-01,,156.7,5.3,5.27,119770.0,3722.5
1996-07-01,8131.408,157.0,5.5,5.4,120019.0,3737.1
1996-08-01,,157.2,5.1,5.22,120198.0,3744.0
1996-09-01,,157.7,5.2,5.3,120400.0,3753.4
1996-10-01,8259.771,158.2,5.2,5.24,120665.0,3772.8
1996-11-01,,158.7,5.4,5.31,120947.0,3795.1
1996-12-01,,159.1,5.4,5.29,121143.0,3818.6
1997-01-01,8362.655,159.4,5.3,5.25,121357.0,3834.6
1997-02-01,,159.7,5.2,5.19,121674.0,3846.3
1997-03-01,,159.8,5.2,5.39,121991.0,3861.2
1997-04-01,8518.825,159.9,5.1,5.51,122288.0,3877.0
1997-05-01,,159.9,4.9,5.5,122560.0,3889.2
1997-06-01,,160.2,5.0,5.56,122816.0,3906.0
1997-07-01,8662.823,160.4,4.9,5.52,123114.0,3923.9
1997-08-01,,160.8,4.8,5.54,123086.0,3957.4
1997-09-01,,161.2,4.9,5.54,123575.0,3973.1
1997-10-01,8765.907,161.5,4.7,5.5,123924.0,3992.3
1997-11-01,,161.7,4.6,5.52,124226.0,4014.8
1997-12-01,,161.8,4.7,5.5,124549.0,4032.9
1998-01-01,8866.48,162.0,4.6,5.56,124806.0,4056.2
1998-02-01,,162.0,4.6,5.51,125017.0,4088.9
1998-03-01,,162.0,4.7,5.49,125165.0,4114.3
1998-04-01,8969.699,162.2,4.3,5.45,125446.0,4140.2
1998-05-01,,162.6,4.4,5.49,125846.0,4164.4
1998-06-01,,162.8,4.5,5.56,126076.0,4184.1
1998-07-01,9121.097,163.2,4.5,5.54,126211.0,4203.8
1998-08-01,,163.4,4.5,5.55,126546.0,4228.7
1998-09-01,,163.5,4.6,5.51,126744.0,4267.7
1998-10-01,9293.991,163.9,4.5,5.07,126948.0,4307.9
1998-11-01,,164.1,4.4,4.83,127223.0,4346.6
1998-12-01,,164.4,4.4,4.68,127595.0,4375.6
1999-01-01,9411.682,164.7,4.3,4.63,127699.0,4403.0
1999-02-01,,164.7,4.4,4.76,128118.0,4425.8
1999-03-01,,164.8,4.2,4.81,128234.0,4432.6
1999-04-01,9526.21,165.9,4.3,4.74,128596.0,4461.4
1999-05-01,,166.0,4.2,4.74,128813.0,4486.1
1999-06-01,,166.0,4.3,4.76,129084.0,4508.0
1999-07-01,9686.626,166.7,4.3,4.99,129421.0,4535.4
1999-08-01,,167.1,4.2,5.07,129572.0,4552.7
1999-09-01,,167.8,4.2,5.22,129772.0,4568.8
1999-10-01,9900.169,168.1,4.1,5.2,130178.0,4592.7
1999-11-01,,168.4,4.1,5.42,130467.0,4611.8
1999-12-01,,168.8,4.0,5.3,130783.0,4639.3
2000-01-01,10002.179,169.3,4.0,5.45,131011.0,4667.6
2000-02-01,,170.0,4.1,5.73,131121.0,4680.9
2000-03-01,,171.0,4.0,5.85,131604.0,4711.7
2000-04-01,10247.72,170.9,3.8,6.02,131883.0,4767.8
2000-05-01,,171.2,4.0,6.27,132105.0,4755.7
2000-06-01,,172.2,4.0,6.53,132062.0,4773.6
2000-07-01,10318.165,172.7,4.0,6.54,132228.0,4791.3
2000-08-01,,172.7,4.1,6.5,132234.0,4819.5
2000-09-01,,173.6,3.9,6.52,132338.0,4855.3
2000-10-01,10435.744,173.9,3.9,6.51,132352.0,4871.4
2000-11-01,,174.2,3.9,6.51,132556.0,4882.8
2000-12-01,,174.6,3.9,6.4,132716.0,4927.7
2001-01-01,10470.231,175.6,4.2,5.98,132703.0,4978.4
2001-02-01,,176.0,4.2,5.49,132788.0,5017.1
2001-03-01,,176.1,4.3,5.31,132751.0,5074.9
2001-04-01,10599.0,176.4,4.4,4.8,132457.0,5139.2
2001-05-01,,177.3,4.3,4.21,132409.0,5137.3
2001-06-01,,177.7,4.5,3.97,132299.0,5180.3
2001-07-01,10598.02,177.4,4.6,3.77,132171.0,5210.2
2001-08-01,,177.4,4.9,3.65,132021.0,5243.9
2001-09-01,,178.1,5.0,3.07,131763.0,5355.3
2001-10-01,10660.465,177.6,5.3,2.49,131452.0,5344.0
2001-11-01,,177.5,5.5,2.09,131144.0,5387.7
2001-12-01,,177.4,5.7,1.82,130983.0,5440.7
2002-01-01,10783.5,177.7,5.7,1.73,130859.0,5461.1
2002-02-01,,178.0,5.7,1.74,130736.0,5490.4
2002-03-01,,178.5,5.7,1.73,130722.0,5502.2
2002-04-01,10887.46,179.3,5.9,1.75,130615.0,5502.3
2002-05-01,,179.5,5.8,1.75,130632.0,5528.5
2002-06-01,,179.6,5.8,1.75,130673.0,5553.5
2002-07-01,10984.04,180.0,5.8,1.73,130583.0,5596.2
2002-08-01,,180.5,5.7,1.74,130582.0,5638.4
2002-09-01,,180.8,5.7,1.75,130503.0,5662.5
2002-10-01,11061.433,181.2,5.7,1.75,130617.0,5707.2
2002-11-01,,181.5,5.9,1.34,130616.0,5758.2
2002-12-01,,181.8,6.0,1.24,130465.0,5779.5
2003-01-01,11174.129,182.6,5.8,1.24,130573.0,5812.3
2003-02-01,,183.6,5.9,1.26,130441.0,5848.4
2003-03-01,,183.9,5.9,1.25,130235.0,5868.6
2003-04-01,11312.766,183.2,6.0,1.26,130172.0,5905.7
2003-05-01,,182.9,6.1,1.26,130196.0,5965.5
2003-06-01,,183.1,6.3,1.22,130185.0,6002.4
2003-07-01,11566.669,183.7,6.2,1.01,130184.0,6049.4
2003-08-01,,184.5,6.1,1.03,130153.0,6107.3
2003-09-01,,185.1,6.1,1.01,130253.0,6079.9
2003-10-01,11772.234,184.9,6.0,1.01,130440.0,6070.2
2003-11-01,,185.0,5.8,1.0,130481.0,6075.7
2003-12-01,,185.5,5.7,0.98,130589.0,6074.0
2004-01-01,11923.447,186.3,5.7,1.0,130756.0,6082.2
2004-02-01,,186.7,5.6,1.01,130820.0,6121.9
2004-03-01,,187.1,5.8,1.0,131139.0,6158.0
2004-04-01,12112.815,187.4,5.6,1.0,131412.0,6199.1
2004-05-01,,188.2,5.6,1.0,131697.0,6275.9
2004-06-01,,188.9,5.6,1.03,131794.0,6278.1
2004-07-01,12305.307,189.1,5.5,1.26,131853.0,6291.3
2004-08-01,,189.2,5.4,1.43,131940.0,6317.9
2004-09-01,,189.8,5.4,1.61,132091.0,6352.3
2004-10-01,12527.214,190.8,5.5,1.76,132431.0,6379.9
2004-11-01,,191.7,5.4,1.93,132504.0,6406.5
2004-12-01,,191.7,5.4,2.16,132629.0,6424.7
