iter	Passed	Remaining
0	59	59253
1	59	29685
2	59	19839
3	59	14904
4	60	11947
5	60	9980
6	60	8569
7	60	7517
8	60	6696
9	60	6038
10	61	5501
11	61	5051
12	61	4673
13	61	4347
14	61	4063
15	62	3815
16	62	3598
17	62	3404
18	62	3230
19	62	3072
20	62	2931
21	63	2801
22	63	2683
23	63	2575
24	63	2477
25	63	2384
26	63	2299
27	63	2220
28	64	2149
29	64	2081
30	64	2018
31	64	1958
32	64	1902
33	65	1850
34	65	1799
35	65	1752
36	65	1707
37	65	1665
38	66	1626
39	66	1588
40	67	1568
41	67	1534
42	67	1501
43	67	1469
44	67	1438
45	67	1409
46	68	1381
47	68	1354
48	68	1329
49	68	1305
50	68	1281
51	69	1259
52	69	1237
53	69	1215
54	69	1195
55	69	1176
56	69	1157
57	70	1139
58	70	1121
59	70	1103
60	70	1087
61	70	1071
62	70	1055
63	71	1039
64	71	1024
65	71	1010
66	71	996
67	71	982
68	71	969
69	72	957
70	72	944
71	72	932
72	72	920
73	72	909
74	72	898
75	73	887
76	73	877
77	73	867
78	73	857
79	73	847
80	73	837
81	74	828
82	74	821
83	74	812
84	74	804
85	74	795
86	75	787
87	75	779
88	75	772
89	75	764
90	75	757
91	75	749
92	76	742
93	76	735
94	76	728
95	76	721
96	76	715
97	76	708
98	77	702
99	77	696
100	77	690
101	77	684
102	77	677
103	78	672
104	78	666
105	78	661
106	78	655
107	78	650
108	78	645
109	79	640
110	79	635
111	79	629
112	79	624
113	79	619
114	80	615
115	80	611
116	80	606
117	80	602
118	80	597
119	81	599
120	81	595
121	82	590
122	82	586
123	82	581
124	82	577
125	82	573
126	82	569
127	82	565
128	83	561
129	83	557
130	83	553
131	83	550
132	83	546
133	84	543
134	84	539
135	84	536
136	84	532
137	85	533
138	85	529
139	85	526
140	85	523
141	86	520
142	86	517
143	86	513
144	87	515
145	87	512
146	87	509
147	87	506
148	88	503
149	88	500
150	88	497
151	88	494
152	88	491
153	89	489
154	89	486
155	89	483
156	89	480
157	89	478
158	89	475
159	90	472
160	90	470
161	90	467
162	90	465
163	90	463
164	91	460
165	91	458
166	91	455
167	91	453
168	91	451
169	91	449
170	92	446
171	92	444
172	92	442
173	92	440
174	92	438
175	93	435
176	93	433
177	93	431
178	93	429
179	93	427
180	94	425
181	94	423
182	94	421
183	94	419
184	94	417
185	94	415
186	95	413
187	95	411
188	95	409
189	95	407
190	95	405
191	95	403
192	96	402
193	96	400
194	96	398
195	96	396
196	96	394
197	96	392
198	97	391
199	97	389
200	97	387
201	97	386
202	97	384
203	98	382
204	98	381
205	98	379
206	98	377
207	98	376
208	99	374
209	99	373
210	99	371
211	99	369
212	99	368
